Study Name	0404W
Sample Name	2024-01-11
Run Name	spot00
Operator	Elena
Date	1/11/2024
Time	16:35
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	94
dt	50.000001E-12
time stamp (ms)	6:11:13 PM
	
Time	Amplitude
0.000000E+0	2.920566E-3
5.000000E-11	2.860613E-3
1.000000E-10	2.800660E-3
1.500000E-10	2.732142E-3
2.000000E-10	2.612236E-3
2.500000E-10	2.526589E-3
3.000000E-10	2.500895E-3
3.500000E-10	2.475200E-3
4.000000E-10	2.423812E-3
4.500000E-10	2.380988E-3
5.000000E-10	2.398118E-3
5.500000E-10	2.458071E-3
6.000000E-10	2.560848E-3
6.500000E-10	2.672189E-3
7.000000E-10	2.834919E-3
7.500000E-10	3.031908E-3
8.000000E-10	3.186073E-3
8.500000E-10	3.280285E-3
9.000000E-10	3.348803E-3
9.500000E-10	3.400191E-3
1.000000E-9	3.391626E-3
1.050000E-9	3.340238E-3
1.100000E-9	3.263155E-3
1.150000E-9	3.151814E-3
1.200000E-9	3.031908E-3
1.250000E-9	2.912002E-3
1.300000E-9	2.792095E-3
1.350000E-9	2.672189E-3
1.400000E-9	2.637930E-3
1.450000E-9	2.655060E-3
1.500000E-9	2.629365E-3
1.550000E-9	2.629365E-3
1.600000E-9	2.680754E-3
1.650000E-9	2.680754E-3
1.700000E-9	2.646495E-3
1.750000E-9	2.655060E-3
1.800000E-9	2.646495E-3
1.850000E-9	2.603671E-3
1.900000E-9	2.620801E-3
1.950000E-9	2.697883E-3
2.000000E-9	2.706448E-3
2.050000E-9	2.706448E-3
2.100000E-9	2.774966E-3
2.150000E-9	2.843484E-3
2.200000E-9	2.852048E-3
2.250000E-9	2.826354E-3
2.300000E-9	2.826354E-3
2.350000E-9	2.792095E-3
2.400000E-9	2.723577E-3
2.450000E-9	2.637930E-3
2.500000E-9	2.552283E-3
2.550000E-9	2.518024E-3
2.600000E-9	2.483765E-3
2.650000E-9	2.423812E-3
2.700000E-9	2.432377E-3
2.750000E-9	2.466636E-3
2.800000E-9	2.432377E-3
2.850000E-9	2.380988E-3
2.900000E-9	2.458071E-3
2.950000E-9	2.569412E-3
3.000000E-9	2.535153E-3
3.050000E-9	2.440941E-3
3.100000E-9	2.415247E-3
3.150000E-9	2.423812E-3
3.200000E-9	2.338165E-3
3.250000E-9	2.286776E-3
3.300000E-9	2.312470E-3
3.350000E-9	2.355294E-3
3.400000E-9	2.295341E-3
3.450000E-9	2.269647E-3
3.500000E-9	2.380988E-3
3.550000E-9	2.526589E-3
3.600000E-9	2.603671E-3
3.650000E-9	2.637930E-3
3.700000E-9	2.672189E-3
3.750000E-9	2.689319E-3
3.800000E-9	2.680754E-3
3.850000E-9	2.689319E-3
3.900000E-9	2.697883E-3
3.950000E-9	2.715013E-3
4.000000E-9	2.715013E-3
4.050000E-9	2.766401E-3
4.100000E-9	2.834919E-3
4.150000E-9	2.903437E-3
4.200000E-9	2.946260E-3
4.250000E-9	2.980519E-3
4.300000E-9	3.074731E-3
4.350000E-9	3.186073E-3
4.400000E-9	3.194638E-3
4.450000E-9	3.160379E-3
4.500000E-9	3.168943E-3
4.550000E-9	3.143249E-3
4.600000E-9	2.980519E-3
4.650000E-9	2.809225E-3
4.700000E-9	2.740707E-3
4.750000E-9	2.620801E-3
4.800000E-9	2.440941E-3
4.850000E-9	2.338165E-3
