Study Name	0404W
Sample Name	2024-01-11
Run Name	spot00
Operator	Elena
Date	1/11/2024
Time	16:35
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	52
dt	50.000001E-12
time stamp (ms)	5:28:08 PM
	
Time	Amplitude
0.000000E+0	-4.684907E-3
5.000000E-11	-4.693472E-3
1.000000E-10	-4.676342E-3
1.500000E-10	-4.693472E-3
2.000000E-10	-4.736296E-3
2.500000E-10	-4.821943E-3
3.000000E-10	-4.958979E-3
3.500000E-10	-5.113144E-3
4.000000E-10	-5.164532E-3
4.500000E-10	-5.138838E-3
5.000000E-10	-5.164532E-3
5.500000E-10	-5.207356E-3
6.000000E-10	-5.155967E-3
6.500000E-10	-5.096014E-3
7.000000E-10	-5.070320E-3
7.500000E-10	-5.001802E-3
8.000000E-10	-4.907590E-3
8.500000E-10	-4.839072E-3
9.000000E-10	-4.804813E-3
9.500000E-10	-4.770554E-3
1.000000E-9	-4.761990E-3
1.050000E-9	-4.744860E-3
1.100000E-9	-4.744860E-3
1.150000E-9	-4.821943E-3
1.200000E-9	-4.873331E-3
1.250000E-9	-4.881896E-3
1.300000E-9	-4.924720E-3
1.350000E-9	-4.984673E-3
1.400000E-9	-4.958979E-3
1.450000E-9	-4.899025E-3
1.500000E-9	-4.856202E-3
1.550000E-9	-4.770554E-3
1.600000E-9	-4.642084E-3
1.650000E-9	-4.530742E-3
1.700000E-9	-4.445095E-3
1.750000E-9	-4.350883E-3
1.800000E-9	-4.256671E-3
1.850000E-9	-4.179588E-3
1.900000E-9	-4.153894E-3
1.950000E-9	-4.196718E-3
2.000000E-9	-4.256671E-3
2.050000E-9	-4.316624E-3
2.100000E-9	-4.419401E-3
2.150000E-9	-4.530742E-3
2.200000E-9	-4.599260E-3
2.250000E-9	-4.667778E-3
2.300000E-9	-4.744860E-3
2.350000E-9	-4.779119E-3
2.400000E-9	-4.770554E-3
2.450000E-9	-4.736296E-3
2.500000E-9	-4.710601E-3
2.550000E-9	-4.684907E-3
2.600000E-9	-4.624954E-3
2.650000E-9	-4.556436E-3
2.700000E-9	-4.539307E-3
2.750000E-9	-4.556436E-3
2.800000E-9	-4.513613E-3
2.850000E-9	-4.445095E-3
2.900000E-9	-4.453659E-3
2.950000E-9	-4.496483E-3
3.000000E-9	-4.505048E-3
3.050000E-9	-4.513613E-3
3.100000E-9	-4.582130E-3
3.150000E-9	-4.693472E-3
3.200000E-9	-4.753425E-3
3.250000E-9	-4.770554E-3
3.300000E-9	-4.821943E-3
3.350000E-9	-4.899025E-3
3.400000E-9	-4.907590E-3
3.450000E-9	-4.881896E-3
3.500000E-9	-4.899025E-3
3.550000E-9	-4.924720E-3
3.600000E-9	-4.881896E-3
3.650000E-9	-4.770554E-3
3.700000E-9	-4.659213E-3
3.750000E-9	-4.607825E-3
3.800000E-9	-4.582130E-3
3.850000E-9	-4.556436E-3
3.900000E-9	-4.565001E-3
3.950000E-9	-4.633519E-3
4.000000E-9	-4.727731E-3
4.050000E-9	-4.830508E-3
4.100000E-9	-4.924720E-3
4.150000E-9	-5.010367E-3
4.200000E-9	-5.061755E-3
4.250000E-9	-5.087449E-3
4.300000E-9	-5.078885E-3
4.350000E-9	-5.061755E-3
4.400000E-9	-4.993237E-3
4.450000E-9	-4.864767E-3
4.500000E-9	-4.744860E-3
4.550000E-9	-4.650648E-3
4.600000E-9	-4.539307E-3
